goodreads_book_id,tag_id,count
50,8717,2212
50,33114,2121
50,11743,1587
50,1691,934
50,11557,890
50,30574,790
50,7457,735
50,32989,691
50,29045,642
50,6953,610
50,25438,524
50,26735,472
50,6828,451
50,6857,358
50,19974,339
50,6888,326
50,6895,289
50,5207,281
50,17124,280
50,25114,253
50,22743,231
50,27199,199
50,6838,184
50,21457,183
50,7404,165
50,12315,160
50,26740,160
50,16799,156
50,6960,154
50,19983,145
50,17129,143
50,29452,142
50,6829,136
50,7852,131
50,14046,128
50,33165,123
50,6914,111
50,22034,108
50,6920,108
50,33012,105
50,16805,102
50,21466,102
50,25191,100
50,1542,97
50,22753,91
50,6847,91
50,33023,85
50,32477,84
50,3389,82
50,6178,82
50,12850,82
50,18045,81
50,6597,81
50,33124,79
50,25034,78
50,3371,76
50,8055,76
50,6976,67
50,7484,67
50,9221,66
50,26754,66
50,25436,63
50,24960,57
50,20774,57
50,5090,57
50,12948,57
50,21195,57
50,8075,56
50,21447,55
50,1200,49
50,1173,49
50,21989,48
50,3392,46
50,32996,46
50,20785,45
50,10404,45
50,6909,44
50,1540,44
50,30573,43
50,25014,42
50,10397,42
50,17090,42
50,3677,42
50,20849,41
50,17086,41
50,27535,40
50,30521,40
50,6977,40
50,6973,40
50,26752,40
50,25761,40
50,15169,39
50,33116,39
50,5481,39
50,5583,39
50,33125,38
50,8067,38
50,19980,38
50,31359,37
50,9621,37
93,30574,27829
93,7457,2886
93,6953,911
93,11743,858
93,8717,819
93,6857,754
93,11557,676
93,7404,573
93,6888,508
93,6895,404
93,6828,386
93,5207,358
93,33114,325
93,22743,323
93,17124,246
93,14487,233
93,6960,204
93,6838,185
93,11590,149
93,22753,121
93,6829,110
93,32989,109
93,17129,106
93,6920,97
93,14467,96
93,19974,95
93,17213,93
93,6914,92
93,16799,89
93,6847,83
93,29141,82
93,6905,75
93,9221,73
93,509,72
93,33165,71
93,6840,70
93,6977,63
93,7423,59
93,15169,57
93,20849,55
93,18367,54
93,6969,53
93,13098,53
93,6976,52
93,22034,49
93,11221,48
93,25034,48
93,6866,47
93,6909,46
93,25033,45
93,20774,44
93,22689,44
93,16805,44
93,1691,43
93,21989,43
93,10932,43
93,6949,41
93,6948,40
93,6843,38
93,18045,36
93,3389,34
93,25020,34
93,6973,34
93,3371,32
93,25014,32
93,25438,32
93,17090,31
93,24960,30
93,29137,29
93,3392,28
93,14764,28
93,20785,28
93,33150,28
93,5161,28
93,25234,27
93,30521,27
93,12600,27
93,7478,27
93,30573,26
93,10197,26
93,26735,26
93,11643,26
93,27199,24
93,7852,24
93,6837,24
93,4021,24
93,6834,22
93,27535,21
93,11497,20
93,10210,20
93,6597,20
93,12296,20
93,11644,20
93,32586,19
93,13116,19
93,22344,19
93,6871,19
93,3379,18
93,4949,18
93,30635,18
122,30574,29584
122,8717,1345
122,11743,1102
122,11557,843
122,14487,465
122,1746,271
122,4949,213
122,7457,126
122,5207,108
122,22743,105
122,11590,95
122,28184,89
122,7852,86
122,14467,68
122,33114,62
122,22034,62
122,5051,50
122,12948,49
122,3389,46
122,18367,46
122,3465,44
122,3358,42
122,26735,41
122,2104,40
122,9886,37
122,14552,37
122,18045,36
122,27535,36
122,1659,35
122,22753,33
122,1642,33
122,2762,32
122,8055,31
122,5857,31
122,7404,30
122,9221,29
122,8067,29
122,4959,29
122,21989,28
122,32989,27
122,30521,27
122,3392,25
122,4985,25
122,27199,24
122,3371,24
122,15626,21
122,4021,21
122,5573,21
122,11505,20
122,20824,20
122,32130,20
122,28422,20
122,11491,19
122,25114,19
122,1416,19
122,14370,19
122,18326,18
122,21689,18
122,1750,18
122,1691,17
122,24840,17
122,11497,16
122,20849,16
122,22689,15
122,12315,15
122,25506,15
122,3467,15
122,20288,14
122,30672,14
122,32586,14
122,26740,14
122,19524,14
122,5481,14
122,24960,13
122,15169,13
122,2106,13
122,9484,13
122,24807,13
122,32917,13
122,8656,13
122,4514,13
122,1128,12
122,10197,12
122,31505,12
122,19733,12
122,4968,12
122,15392,12
122,3466,12
122,2100,12
122,3461,12
122,20774,11
122,5090,11
122,11574,11
122,30573,11
122,11579,11
122,923,11
122,25438,11
122,3379,11
122,9477,11
122,25152,10
231,30574,5250
231,11743,536
231,8717,347
231,11557,130
231,22743,58
231,5207,54
231,8067,51
231,22034,49
231,8055,43
231,7668,39
231,7852,33
231,18367,32
231,4949,30
231,18326,28
231,2277,21
231,1416,21
231,22753,19
231,9221,18
231,21989,18
231,12948,17
231,33114,16
231,3392,16
231,18045,16
231,1659,16
231,5051,15
231,3371,14
231,615,14
231,2313,14
231,9477,14
231,7673,14
231,30937,14
231,31656,12
231,3389,11
231,20849,11
231,27535,11
231,18318,11
231,20288,11
231,941,11
231,9484,11
231,617,11
231,1642,10
231,30672,10
231,8346,10
231,9886,9
231,2335,9
231,12869,9
231,25438,8
231,10644,7
231,5090,7
231,30521,7
231,1510,7
231,26636,7
231,24960,6
231,15169,6
231,11505,6
231,22689,6
231,3358,6
231,26735,6
231,3377,6
231,11978,6
231,32686,6
231,4514,6
231,23993,6
231,32989,5
231,20774,5
231,17213,5
231,5444,5
231,2271,5
231,32586,5
231,31505,5
231,4985,5
231,9638,5
231,25630,5
231,22816,5
231,15392,5
231,30768,5
231,28204,5
231,11798,5
231,27368,5
231,8069,5
231,26138,4
231,2294,4
231,2312,4
231,18990,4
231,3379,4
231,25148,4
231,25506,4
231,25822,4
231,25106,4
231,23040,4
231,31557,4
231,30766,4
231,10304,4
231,21374,4
231,8344,4
231,11776,4
231,31535,4
231,28014,4
231,20302,4
231,2162,4
446,30574,6029
446,11743,406
446,8717,313
446,11557,154
446,8055,57
446,2277,55
446,22743,51
446,21437,49
446,22034,46
446,18367,46
446,5207,45
446,23131,41
446,21989,35
446,2313,35
446,8067,33
446,31656,29
446,10197,27
446,18045,26
446,9221,25
446,18326,23
446,10644,22
446,4949,19
446,22753,18
446,3456,18
446,617,15
446,11590,14
446,20849,14
446,21111,14
446,20774,13
446,22689,13
446,5816,13
446,30521,12
446,18318,12
446,12948,12
446,3392,11
446,17213,11
446,2271,11
446,941,11
446,11221,11
446,11978,11
446,22111,11
446,22009,11
446,9886,10
446,2312,10
446,3389,9
446,26126,9
446,25167,8
446,20288,8
446,26193,8
446,10094,8
446,1659,8
446,5481,8
446,17958,8
446,15169,7
446,5444,7
446,14064,7
446,20279,7
446,1416,7
446,2335,6
446,32586,6
446,24999,6
446,24993,6
446,23349,6
446,25146,6
446,11798,6
446,3371,5
446,25151,5
446,11574,5
446,25147,5
446,2294,5
446,24080,5
446,33777,5
446,603,5
446,25149,5
446,25148,5
446,18292,5
446,15048,5
446,31505,5
446,18338,5
446,22310,5
446,7457,4
446,26138,4
446,25153,4
446,1642,4
446,21384,4
446,25438,4
446,10093,4
446,3358,4
446,18130,4
446,12940,4
446,29316,4
446,33760,4
