user_id,book_id
9,8
15,275
34,380
34,483
29,662
124,5
116,658
242,28
162,199
162,2938
162,4337
162,44
162,1186
162,136
187,378
364,741
301,383
222,3092
399,45
403,100
399,4139
418,42
418,483
209,11
439,249
439,121
449,26
322,9927
245,8
399,3792
248,9025
453,45
490,121
506,1186
506,456
506,4244
506,2695
506,3364
506,784
511,1547
506,64
416,4092
416,494
506,484
506,241
179,1567
200,100
533,4363
533,407
504,114
504,378
143,2603
537,115
537,100
537,1144
537,64
497,7579
538,57
475,130
564,6729
124,662
580,1094
580,5804
513,1255
585,6704
590,68
590,22
590,33
590,952
589,249
603,11
529,1186
605,111
635,4671
639,22
654,115
654,8
654,4
654,378
555,67
662,33
662,45
670,118
643,121
718,5150
718,249
654,306
697,67
756,621
788,26
697,249
84,380
813,11
9,1582
900,378
589,1977
253,249
458,249
531,4671
947,132
961,60
961,6770
585,67
989,3787
987,378
987,1315
1007,331
926,11
1007,100
1032,115
1033,3792
253,1421
585,178
585,326
1012,4938
1033,587
875,1713
1007,958
1047,121
462,5804
547,7796
547,9830
791,77
791,5500
791,594
791,184
547,4838
1139,848
1104,115
1139,11
1135,265
1178,249
1178,115
790,100
954,11
934,793
1147,407
912,67
1178,3092
1178,129
1211,4513
1211,2938
1254,178
1135,325
875,57
1176,67
1238,9830
1238,378
1302,306
579,2462
1147,11
875,2136
1102,3613
554,67
1325,11
1350,57
746,11
765,115
765,523
1334,11
1334,67
207,704
1254,483
1395,115
1395,67
1430,1161
1430,196
1430,484
954,896
190,948
1453,5
1453,378
1459,57
1459,22
1459,410
253,7155
1450,1161
1474,7959
1534,6913
1464,67
1526,100
1551,121
1547,234
1547,707
1509,8
1584,557
1547,4858
1504,249
1590,2029
1590,11
1509,121
1608,410
1582,369
1582,57
1582,100
1582,6813
1650,3140
1561,2994
605,867
1666,1279
1526,1144
1689,45
1722,6895
1125,378
1125,476
1488,8153
1743,8
1734,6944
1124,249
1763,2540
448,4081
1723,3904
1297,11
1147,57
1147,741
1649,32
774,60
774,1843
1778,5097
1807,64
1811,67
1582,5
875,1107
875,2938
1820,1567
440,741
1726,3250
1740,2578
559,196
177,100
947,1843
1514,115
1873,33
1889,33
1889,4081
1514,121
1549,67
283,111
283,115
283,304
1890,60
1434,121
1112,3566
1726,784
947,228
1033,5150
1889,1752
1889,2188
1577,896
1937,100
1937,120
1047,68
1582,3634
1926,387
1926,68
1549,4081
1913,115
1913,310
1913,625
1965,867
1926,32
1915,4793
1915,115
1649,7379
1654,1936
1890,3613
1254,6777
1935,5
1935,8
718,2508
1392,3021
1913,2136
2036,60
594,28
2075,45
1549,115
1549,410
416,1216
1913,867
2031,1216
1740,1749
318,8
318,67
318,484
318,1061
318,115
2084,4561
662,328
2210,8
1497,409
2224,3638
2080,130
2080,178
2080,196
2080,265
2080,68
2080,108
2080,3250
750,357
1172,121
2080,3856
2080,9025
1508,115
2283,476
2283,2939
2036,67
2036,22
2130,325
2130,4
2130,11
2130,763
2291,867
3,3566
1890,57
2334,4
2334,129
1942,494
2338,357
2036,115
1927,11
1463,1149
2356,4
2389,7379
2389,467
2389,3911
2389,64
2370,867
2397,45
1927,115
2407,275
2370,378
2370,6180
2419,11
2438,378
1942,1957
2438,121
903,1216
2466,28
2466,115
2481,228
1847,468
605,300
605,1655
605,2883
605,3386
2491,2578
2497,115
605,2815
605,3456
1173,784
2478,47
2519,199
1173,867
1173,249
1740,6870
2540,196
1608,265
1910,33
2565,11
1910,325
2369,115
2361,5474
2485,1426
1779,107
1903,3919
2565,2578
2253,1459
2615,3656
2481,2148
2557,378
2424,115
1979,380
1979,410
2470,2738
26,3412
2337,1163
2337,873
2337,410
2046,115
2662,100
2662,45
977,704
2661,11
2661,67
2667,328
2667,3456
2667,115
2667,1186
2667,121
2667,100
2667,271
2294,328
2667,570
2704,67
1903,3943
2701,115
2687,3792
2713,6870
1108,378
2713,896
2713,8479
2713,2136
1546,3550
2713,121
2713,321
2713,199
1124,467
2728,4938
2732,1087
1123,45
2740,378
2738,2029
1131,11
2746,115
2748,8
2748,58
1903,147
1903,8298
1903,8
1903,178
1903,8088
774,1216
774,686
774,107
774,2938
774,4842
1095,67
1095,57
1903,369
1903,4145
1046,380
2732,2540
2639,8677
2756,11
1534,3550
2597,67
1400,6194
2713,111
2796,11
2796,33
2796,115
2796,121
2796,22
669,6870
2216,114
1823,1094
2713,662
2162,4
2162,115
2713,4237
2715,328
826,741
2747,114
2747,3387
2737,378
2737,1582
2397,591
2709,57
1095,5914
1095,9
2611,6980
2853,1547
803,6049
803,3550
2888,4513
2384,11
